id_bollettino,id_stazione,id_inquinante,valore
1,1,4,32.0
1,1,5,0.9
1,2,2,66.0
1,2,3,62.0
1,2,4,41.0
1,2,5,1.2
1,2,7,2.3
1,3,1,0.0
1,3,2,57.0
1,3,3,48.0
1,3,4,26.0
1,3,6,0.0
1,3,7,2.7
1,4,2,58.0
1,4,3,53.0
1,4,4,39.0
1,4,5,1.0
1,4,7,1.9
1,5,2,47.0
1,5,4,38.0
1,5,6,6.0
2,1,4,40.0
2,1,5,0.9
2,2,2,29.0
2,2,3,27.0
2,2,4,49.0
2,2,5,1.4
2,2,7,2.5
2,3,1,0.0
2,3,2,25.0
2,3,3,21.0
2,3,4,35.0
2,3,6,0.0
2,3,7,2.5
2,4,2,29.0
2,4,3,24.0
2,4,4,42.0
2,4,5,1.0
2,4,7,1.7
2,5,2,18.0
2,5,4,43.0
2,5,6,7.0
3,1,4,39.0
3,1,5,0.9
3,2,2,19.0
3,2,3,17.0
3,2,4,51.0
3,2,5,1.3
3,2,7,2.5
3,3,1,0.0
3,3,2,17.0
3,3,3,14.0
3,3,4,27.0
3,3,6,0.0
3,3,7,2.1
3,4,2,17.0
3,4,3,14.0
3,4,4,40.0
3,4,5,0.9
3,4,7,1.5
3,5,2,11.0
3,5,4,38.0
3,5,6,0.0
4,1,4,47.0
4,1,5,1.0
4,2,2,28.0
4,2,3,23.0
4,2,4,52.0
4,2,5,1.3
4,2,7,2.2
4,3,1,0.0
4,3,2,27.0
4,3,3,21.0
4,3,4,35.0
4,3,6,11.0
4,3,7,2.3
4,4,2,33.0
4,4,3,23.0
4,4,4,45.0
4,4,5,0.9
4,4,7,1.4
4,5,2,19.0
4,5,4,41.0
4,5,6,14.0
5,1,4,43.0
5,1,5,0.8
5,2,2,27.0
5,2,3,25.0
5,2,4,50.0
5,2,5,1.2
5,2,7,1.9
5,3,1,0.0
5,3,2,22.0
5,3,3,16.0
5,3,4,32.0
5,3,6,11.0
5,3,7,1.5
5,4,2,25.0
5,4,3,20.0
5,4,4,42.0
5,4,5,0.7
5,4,7,1.3
5,5,2,15.0
5,5,4,40.0
5,5,6,12.0
6,1,4,68.0
6,1,5,0.9
6,2,2,12.0
6,2,3,11.0
6,2,4,58.0
6,2,5,1.2
6,2,7,1.4
6,3,1,0.0
6,3,2,12.0
6,3,3,9.0
6,3,4,52.0
6,3,6,66.0
6,3,7,1.6
6,4,2,18.0
6,4,3,10.0
6,4,4,69.0
6,4,5,0.8
6,4,7,1.2
6,5,2,11.0
6,5,4,58.0
6,5,6,54.0
7,1,4,103.0
7,1,5,1.3
7,2,2,9.0
7,2,3,4.0
7,2,4,95.0
7,2,5,1.0
7,2,7,1.3
7,3,1,0.0
7,3,2,13.0
7,3,3,6.0
7,3,4,78.0
7,3,6,69.0
7,3,7,1.6
7,4,2,16.0
7,4,3,9.0
7,4,4,95.0
7,4,5,1.0
7,4,7,1.2
7,5,2,14.0
7,5,4,97.0
7,5,6,57.0
8,1,4,93.0
8,1,5,1.5
8,2,2,44.0
8,2,3,29.0
8,2,4,110.0
8,2,5,1.4
8,2,7,3.5
8,3,1,8.0
8,3,2,44.0
8,3,3,28.0
8,3,4,81.0
8,3,6,7.0
8,3,7,3.5
8,4,2,51.0
8,4,3,34.0
8,4,4,95.0
8,4,5,1.2
8,4,7,2.0
8,5,2,37.0
8,5,4,95.0
8,5,6,5.0
9,1,4,103.0
9,1,5,1.7
9,2,2,57.0
9,2,3,43.0
9,2,4,104.0
9,2,5,1.6
9,2,7,4.0
9,3,1,11.0
9,3,2,56.0
9,3,3,40.0
9,3,4,95.0
9,3,6,6.0
9,3,7,4.7
9,4,2,71.0
9,4,3,48.0
9,4,4,107.0
9,4,5,1.4
9,4,7,2.4
9,5,2,49.0
9,5,4,117.0
9,5,6,8.0
10,1,4,67.0
10,1,5,1.2
10,2,2,57.0
10,2,3,50.0
10,2,4,74.0
10,2,5,1.2
10,2,7,2.8
10,3,1,0.0
10,3,2,56.0
10,3,3,43.0
10,3,4,53.0
10,3,6,5.0
10,3,7,3.0
10,4,2,57.0
10,4,3,48.0
10,4,4,66.0
10,4,5,0.9
10,4,7,1.6
10,5,2,42.0
10,5,4,64.0
10,5,6,6.0
11,1,4,61.0
11,1,5,1.4
11,2,2,45.0
11,2,3,39.0
11,2,4,81.0
11,2,5,1.1
11,2,7,2.6
11,3,1,0.0
11,3,2,41.0
11,3,3,27.0
11,3,4,46.0
11,3,6,15.0
11,3,7,2.2
11,4,2,52.0
11,4,3,38.0
11,4,4,76.0
11,4,5,1.0
11,4,7,1.4
11,5,2,37.0
11,5,4,79.0
11,5,6,17.0
12,1,4,61.0
12,1,5,1.3
12,2,2,31.0
12,2,3,26.0
12,2,4,65.0
12,2,5,1.0
12,2,7,2.3
12,3,1,0.0
12,3,2,24.0
12,3,3,19.0
12,3,4,45.0
12,3,6,17.0
12,3,7,1.9
12,4,2,34.0
12,4,3,26.0
12,4,4,61.0
12,4,5,0.8
12,5,2,20.0
12,5,4,58.0
12,5,6,16.0
13,1,4,69.0
13,1,5,1.0
13,2,2,32.0
13,2,3,29.0
13,2,4,74.0
13,2,5,1.0
13,2,7,2.4
13,3,1,0.0
13,3,2,33.0
13,3,3,26.0
13,3,4,54.0
13,3,6,19.0
13,3,7,2.3
13,4,2,41.0
13,4,3,32.0
13,4,4,67.0
13,4,5,1.0
13,5,2,30.0
13,5,4,65.0
13,5,6,21.0
14,1,4,72.0
14,1,5,1.0
14,2,2,20.0
14,2,3,18.0
14,2,4,81.0
14,2,5,1.0
14,2,7,1.8
14,3,1,0.0
14,3,2,17.0
14,3,3,14.0
14,3,4,53.0
14,3,6,50.0
14,3,7,1.4
14,4,2,22.0
14,4,3,19.0
14,4,4,70.0
14,4,5,1.0
14,5,2,14.0
14,5,4,70.0
14,5,6,43.0
15,1,4,75.0
15,1,5,1.0
15,2,2,30.0
15,2,3,21.0
15,2,4,77.0
15,2,5,1.0
15,2,7,2.2
15,3,1,0.0
15,3,2,27.0
15,3,3,21.0
15,3,4,60.0
15,3,6,39.0
15,3,7,2.1
15,4,2,32.0
15,4,3,23.0
15,4,4,71.0
15,4,5,1.0
15,5,2,22.0
15,5,4,73.0
15,5,6,37.0
16,1,4,86.0
16,1,5,1.4
16,2,2,46.0
16,2,3,30.0
16,2,4,94.0
16,2,5,1.8
16,2,7,3.1
16,3,1,5.0
16,3,2,47.0
16,3,3,31.0
16,3,4,81.0
16,3,6,10.0
16,3,7,3.1
16,4,2,54.0
16,4,3,35.0
16,4,4,85.0
16,4,5,1.3
16,5,2,35.0
16,5,4,83.0
16,5,6,15.0
17,1,4,98.0
17,1,5,1.4
17,2,2,33.0
17,2,3,23.0
17,2,4,88.0
17,2,5,1.9
17,2,7,2.7
17,3,1,0.0
17,3,2,23.0
17,3,3,14.0
17,3,4,67.0
17,3,6,30.0
17,3,7,2.4
17,4,4,75.0
17,4,5,1.4
17,5,2,19.0
17,5,4,72.0
17,5,6,35.0
18,2,2,40.0
18,2,3,28.0
18,2,4,96.0
18,2,5,1.9
18,2,7,2.9
18,3,1,0.0
18,3,2,33.0
18,3,3,23.0
18,3,4,62.0
18,3,6,42.0
18,3,7,2.9
18,4,4,72.0
18,4,5,1.0
18,4,7,1.8
18,5,2,23.0
18,5,4,73.0
18,5,6,40.0
19,2,2,44.0
19,2,3,32.0
19,2,4,87.0
19,2,5,2.1
19,2,7,3.2
19,3,1,0.0
19,3,2,35.0
19,3,3,25.0
19,3,4,70.0
