id_bollettino,data
1,2023-01-02
2,2023-01-03
3,2023-01-04
4,2023-01-05
5,2023-01-09
6,2023-01-10
7,2023-01-11
8,2023-01-12
9,2023-01-13
10,2023-01-16
11,2023-01-17
12,2023-01-18
13,2023-01-19
14,2023-01-20
15,2023-01-23
16,2023-01-24
17,2023-01-25
18,2023-01-26
19,2023-01-27
20,2023-01-30
21,2023-01-31
22,2023-02-01
23,2023-02-02
24,2023-02-03
25,2023-02-06
26,2023-02-07
27,2023-02-08
28,2023-02-09
29,2023-02-10
30,2023-02-13
31,2023-02-14
32,2023-02-15
33,2023-02-16
34,2023-02-17
35,2023-02-20
36,2023-02-21
37,2023-02-22
38,2023-02-23
39,2023-02-24
40,2023-02-27
41,2023-02-28
42,2023-03-01
43,2023-03-02
44,2023-03-03
45,2023-03-06
46,2023-03-07
47,2023-03-08
48,2023-03-09
49,2023-03-10
50,2023-03-13
51,2023-03-14
52,2023-03-15
53,2023-03-16
54,2023-03-17
55,2023-03-20
56,2023-03-21
57,2023-03-22
58,2023-03-23
59,2023-03-24
60,2023-03-27
61,2023-03-28
62,2023-03-29
63,2023-03-30
64,2023-03-31
65,2023-04-03
66,2023-04-04
67,2023-04-05
68,2023-04-06
69,2023-04-07
70,2023-04-11
71,2023-04-12
72,2023-04-13
73,2023-04-14
74,2023-04-17
75,2023-04-18
76,2023-04-19
77,2023-04-20
78,2023-04-21
79,2023-04-26
80,2023-04-27
81,2023-04-28
82,2023-05-02
83,2023-05-03
84,2023-05-04
85,2023-05-05
86,2023-05-08
87,2023-05-09
88,2023-05-10
89,2023-05-11
90,2023-05-12
91,2023-05-15
92,2023-05-16
93,2023-05-17
94,2023-05-18
95,2023-05-19
96,2023-05-22
97,2023-05-23
98,2023-05-24
99,2023-05-25
100,2023-05-26
101,2023-05-29
102,2023-05-30
103,2023-05-31
104,2023-06-01
105,2023-06-05
106,2023-06-06
107,2023-06-07
108,2023-06-08
109,2023-06-09
110,2023-06-12
111,2023-06-13
112,2023-06-14
113,2023-06-15
114,2023-06-16
115,2023-06-19
116,2023-06-20
117,2023-06-21
118,2023-06-22
119,2023-06-23
120,2023-06-26
121,2023-06-27
122,2023-06-28
123,2023-06-29
124,2023-06-30
125,2023-07-03
126,2023-07-04
127,2023-07-05
128,2023-07-06
129,2023-07-07
130,2023-07-10
131,2023-07-11
132,2023-07-12
133,2023-07-13
134,2023-07-14
135,2023-07-17
136,2023-07-18
137,2023-07-19
138,2023-07-20
139,2023-07-21
140,2023-07-24
141,2023-07-25
142,2023-07-26
143,2023-07-27
144,2023-07-28
145,2023-07-31
146,2023-08-01
147,2023-08-02
148,2023-08-03
149,2023-08-04
150,2023-08-07
151,2023-08-08
152,2023-08-09
153,2023-08-10
154,2023-08-11
155,2023-08-21
156,2023-08-22
157,2023-08-23
158,2023-08-24
159,2023-08-25
160,2023-08-28
161,2023-08-29
162,2023-08-31
163,2023-09-01
164,2023-09-04
165,2023-09-05
166,2023-09-06
167,2023-09-07
168,2023-09-08
169,2023-09-11
170,2023-09-12
171,2023-09-13
172,2023-09-14
173,2023-09-15
174,2023-09-18
175,2023-09-19
176,2023-09-20
177,2023-09-21
178,2023-09-22
179,2023-09-25
180,2023-09-26
181,2023-09-27
182,2023-09-28
183,2023-09-29
184,2023-10-02
185,2023-10-03
186,2023-10-04
187,2023-10-05
188,2023-10-06
189,2023-10-09
190,2023-10-10
191,2023-10-11
192,2023-10-12
193,2023-10-13
194,2023-10-16
195,2023-10-17
196,2023-10-18
197,2023-10-19
198,2023-10-20
199,2023-10-23
200,2023-10-24
201,2023-10-25
202,2023-10-26
203,2023-10-27
204,2023-10-30
205,2023-10-31
206,2023-11-02
207,2023-11-03
208,2023-11-06
209,2023-11-07
210,2023-11-08
211,2023-11-09
212,2023-11-10
213,2023-11-13
214,2023-11-14
215,2023-11-15
216,2023-11-16
217,2023-11-17
218,2023-11-20
219,2023-11-21
220,2023-11-22
221,2023-11-23
222,2023-11-24
223,2023-11-27
224,2023-11-29
225,2023-11-30
226,2023-12-01
227,2023-12-04
228,2023-12-05
229,2023-12-06
230,2023-12-11
231,2023-12-12
232,2023-12-13
233,2023-12-14
234,2023-12-15
235,2023-12-18
236,2023-12-19
237,2023-12-20
238,2023-12-21
239,2023-12-22
240,2023-12-27
241,2023-12-28
242,2023-12-29
