id_bollettino,id_stazione,id_inquinante,valore
1,1,1,"
                                                            -
                                                    "
1,1,2,"
                                                            -
                                                    "
1,1,3,"
                                                            -
                                                    "
1,1,4,"
                                                            32                                                    "
1,1,5,"
                                                            0,9                                                    "
1,1,6,"
                                                            -
                                                    "
1,1,7,"
                                                            -
                                                    "
1,2,1,"
                                                            -
                                                    "
1,2,2,"
                                                            66                                                    "
1,2,3,"
                                                            62                                                    "
1,2,4,"
                                                            41                                                    "
1,2,5,"
                                                            1,2                                                    "
1,2,6,"
                                                            -
                                                    "
1,2,7,"
                                                            2,3                                                    "
1,3,1,"
                                                            < 5                                                    "
1,3,2,"
                                                            57                                                    "
1,3,3,"
                                                            48                                                    "
1,3,4,"
                                                            26                                                    "
1,3,5,"
                                                            -
                                                    "
1,3,6,"
                                                            < 4                                                    "
1,3,7,"
                                                            2,7                                                    "
1,4,1,"
                                                            -
                                                    "
1,4,2,"
                                                            58                                                    "
1,4,3,"
                                                            53                                                    "
1,4,4,"
                                                            39                                                    "
1,4,5,"
                                                            1,0                                                    "
1,4,6,"
                                                            -
                                                    "
1,4,7,"
                                                            1,9                                                    "
1,5,1,"
                                                            -
                                                    "
1,5,2,"
                                                            47                                                    "
1,5,3,"
                                                            -
                                                    "
1,5,4,"
                                                            38                                                    "
1,5,5,"
                                                            -
                                                    "
1,5,6,"
                                                            6                                                    "
1,5,7,"
                                                            -
                                                    "
2,1,1,"
                                                            -
                                                    "
2,1,2,"
                                                            -
                                                    "
2,1,3,"
                                                            -
                                                    "
2,1,4,"
                                                            40                                                    "
2,1,5,"
                                                            0,9                                                    "
2,1,6,"
                                                            -
                                                    "
2,1,7,"
                                                            -
                                                    "
2,2,1,"
                                                            -
                                                    "
2,2,2,"
                                                            29                                                    "
2,2,3,"
                                                            27                                                    "
2,2,4,"
                                                            49                                                    "
2,2,5,"
                                                            1,4                                                    "
2,2,6,"
                                                            -
                                                    "
2,2,7,"
                                                            2,5                                                    "
2,3,1,"
                                                            < 5                                                    "
2,3,2,"
                                                            25                                                    "
2,3,3,"
                                                            21                                                    "
2,3,4,"
                                                            35                                                    "
2,3,5,"
                                                            -
                                                    "
2,3,6,"
                                                            < 4                                                    "
2,3,7,"
                                                            2,5                                                    "
2,4,1,"
                                                            -
                                                    "
2,4,2,"
                                                            29                                                    "
2,4,3,"
                                                            24                                                    "
2,4,4,"
                                                            42                                                    "
2,4,5,"
                                                            1,0                                                    "
2,4,6,"
                                                            -
                                                    "
2,4,7,"
                                                            1,7                                                    "
2,5,1,"
                                                            -
                                                    "
2,5,2,"
                                                            18                                                    "
2,5,3,"
                                                            -
                                                    "
2,5,4,"
                                                            43                                                    "
2,5,5,"
                                                            -
                                                    "
2,5,6,"
                                                            7                                                    "
2,5,7,"
                                                            -
                                                    "
3,1,1,"
                                                            -
                                                    "
3,1,2,"
                                                            -
                                                    "
3,1,3,"
                                                            -
                                                    "
3,1,4,"
                                                            39                                                    "
3,1,5,"
                                                            0,9                                                    "
3,1,6,"
                                                            -
                                                    "
3,1,7,"
                                                            -
                                                    "
3,2,1,"
                                                            -
                                                    "
3,2,2,"
                                                            19                                                    "
3,2,3,"
                                                            17                                                    "
3,2,4,"
                                                            51                                                    "
3,2,5,"
                                                            1,3                                                    "
3,2,6,"
                                                            -
                                                    "
3,2,7,"
                                                            2,5                                                    "
3,3,1,"
                                                            < 5                                                    "
3,3,2,"
                                                            17                                                    "
3,3,3,"
                                                            14                                                    "
3,3,4,"
                                                            27                                                    "
3,3,5,"
                                                            -
                                                    "
3,3,6,"
                                                            < 4                                                    "
3,3,7,"
                                                            2,1                                                    "
3,4,1,"
                                                            -
                                                    "
3,4,2,"
                                                            17                                                    "
3,4,3,"
                                                            14                                                    "
3,4,4,"
                                                            40                                                    "
3,4,5,"
                                                            0,9                                                    "
3,4,6,"
                                                            -
                                                    "
3,4,7,"
                                                            1,5                                                    "
3,5,1,"
                                                            -
                                                    "
3,5,2,"
                                                            11                                                    "
3,5,3,"
                                                            -
                                                    "
3,5,4,"
                                                            38                                                    "
3,5,5,"
                                                            -
                                                    "
3,5,6,"
                                                            < 4                                                    "
3,5,7,"
                                                            -
                                                    "
4,1,1,"
                                                            -
                                                    "
4,1,2,"
                                                            -
                                                    "
4,1,3,"
                                                            -
                                                    "
4,1,4,"
                                                            47                                                    "
4,1,5,"
                                                            1,0                                                    "
4,1,6,"
                                                            -
                                                    "
4,1,7,"
                                                            -
                                                    "
4,2,1,"
                                                            -
                                                    "
4,2,2,"
                                                            28                                                    "
4,2,3,"
                                                            23                                                    "
4,2,4,"
                                                            52                                                    "
4,2,5,"
                                                            1,3                                                    "
4,2,6,"
                                                            -
                                                    "
4,2,7,"
                                                            2,2                                                    "
4,3,1,"
                                                            < 5                                                    "
4,3,2,"
                                                            27                                                    "
4,3,3,"
                                                            21                                                    "
4,3,4,"
                                                            35                                                    "
4,3,5,"
                                                            -
                                                    "
4,3,6,"
                                                            11                                                    "
4,3,7,"
                                                            2,3                                                    "
4,4,1,"
                                                            -
                                                    "
4,4,2,"
                                                            33                                                    "
4,4,3,"
                                                            23                                                    "
4,4,4,"
                                                            45                                                    "
4,4,5,"
                                                            0,9                                                    "
4,4,6,"
                                                            -
                                                    "
4,4,7,"
                                                            1,4                                                    "
4,5,1,"
                                                            -
                                                    "
4,5,2,"
                                                            19                                                    "
4,5,3,"
                                                            -
                                                    "
4,5,4,"
                                                            41                                                    "
4,5,5,"
                                                            -
                                                    "
4,5,6,"
                                                            14                                                    "
4,5,7,"
                                                            -
                                                    "
5,1,1,"
                                                            -
                                                    "
5,1,2,"
                                                            -
                                                    "
5,1,3,"
                                                            -
                                                    "
5,1,4,"
                                                            43                                                    "
5,1,5,"
                                                            0,8                                                    "
5,1,6,"
                                                            -
                                                    "
5,1,7,"
                                                            -
                                                    "
5,2,1,"
                                                            -
                                                    "
5,2,2,"
                                                            27                                                    "
5,2,3,"
                                                            25                                                    "
5,2,4,"
                                                            50                                                    "
5,2,5,"
                                                            1,2                                                    "
5,2,6,"
                                                            -
                                                    "
5,2,7,"
                                                            1,9                                                    "
5,3,1,"
                                                            < 5                                                    "
5,3,2,"
                                                            22                                                    "
5,3,3,"
                                                            16                                                    "
5,3,4,"
                                                            32                                                    "
5,3,5,"
                                                            -
                                                    "
5,3,6,"
                                                            11                                                    "
5,3,7,"
                                                            1,5                                                    "
5,4,1,"
                                                            -
                                                    "
5,4,2,"
                                                            25                                                    "
5,4,3,"
                                                            20                                                    "
5,4,4,"
                                                            42                                                    "
5,4,5,"
                                                            0,7                                                    "
5,4,6,"
                                                            -
                                                    "
5,4,7,"
                                                            1,3                                                    "
5,5,1,"
                                                            -
                                                    "
5,5,2,"
                                                            15                                                    "
5,5,3,"
                                                            -
                                                    "
5,5,4,"
                                                            40                                                    "
5,5,5,"
                                                            -
                                                    "
5,5,6,"
                                                            12                                                    "
5,5,7,"
                                                            -
                                                    "
6,1,1,"
                                                            -
                                                    "
6,1,2,"
                                                            -
                                                    "
6,1,3,"
                                                            -
                                                    "
6,1,4,"
                                                            68                                                    "
6,1,5,"
                                                            0,9                                                    "
6,1,6,"
                                                            -
                                                    "
6,1,7,"
                                                            -
                                                    "
6,2,1,"
                                                            -
                                                    "
6,2,2,"
                                                            12                                                    "
6,2,3,"
                                                            11                                                    "
6,2,4,"
                                                            58                                                    "
6,2,5,"
                                                            1,2                                                    "
6,2,6,"
                                                            -
                                                    "
6,2,7,"
                                                            1,4                                                    "
6,3,1,"
                                                            < 5                                                    "
6,3,2,"
                                                            12                                                    "
6,3,3,"
                                                            9                                                    "
6,3,4,"
                                                            52                                                    "
6,3,5,"
                                                            -
                                                    "
6,3,6,"
                                                            66                                                    "
6,3,7,"
                                                            1,6                                                    "
6,4,1,"
                                                            -
                                                    "
6,4,2,"
                                                            18                                                    "
6,4,3,"
                                                            10                                                    "
6,4,4,"
                                                            69                                                    "
6,4,5,"
                                                            0,8                                                    "
6,4,6,"
                                                            -
                                                    "
6,4,7,"
                                                            1,2                                                    "
6,5,1,"
                                                            -
                                                    "
6,5,2,"
                                                            11                                                    "
6,5,3,"
                                                            -
                                                    "
6,5,4,"
                                                            58                                                    "
6,5,5,"
                                                            -
                                                    "
6,5,6,"
                                                            54                                                    "
6,5,7,"
                                                            -
                                                    "
7,1,1,"
                                                            -
                                                    "
7,1,2,"
                                                            -
                                                    "
7,1,3,"
                                                            -
                                                    "
7,1,4,"
                                                            103                                                    "
7,1,5,"
                                                            1,3                                                    "
7,1,6,"
                                                            -
                                                    "
7,1,7,"
                                                            -
                                                    "
7,2,1,"
                                                            -
                                                    "
7,2,2,"
                                                            9                                                    "
7,2,3,"
                                                            4                                                    "
7,2,4,"
                                                            95                                                    "
7,2,5,"
                                                            1,0                                                    "
7,2,6,"
                                                            -
                                                    "
7,2,7,"
                                                            1,3                                                    "
7,3,1,"
                                                            < 5                                                    "
7,3,2,"
                                                            13                                                    "
7,3,3,"
                                                            6                                                    "
7,3,4,"
                                                            78                                                    "
7,3,5,"
                                                            -
                                                    "
7,3,6,"
                                                            69                                                    "
7,3,7,"
                                                            1,6                                                    "
7,4,1,"
                                                            -
                                                    "
7,4,2,"
                                                            16                                                    "
7,4,3,"
                                                            9                                                    "
7,4,4,"
                                                            95                                                    "
7,4,5,"
                                                            1,0                                                    "
7,4,6,"
                                                            -
                                                    "
7,4,7,"
                                                            1,2                                                    "
7,5,1,"
                                                            -
                                                    "
7,5,2,"
                                                            14                                                    "
7,5,3,"
                                                            -
                                                    "
7,5,4,"
                                                            97                                                    "
7,5,5,"
                                                            -
                                                    "
7,5,6,"
                                                            57                                                    "
7,5,7,"
                                                            -
                                                    "
8,1,1,"
                                                            -
                                                    "
8,1,2,"
                                                            -
                                                    "
8,1,3,"
                                                            -
                                                    "
8,1,4,"
                                                            93                                                    "
8,1,5,"
                                                            1,5                                                    "
8,1,6,"
                                                            -
                                                    "
8,1,7,"
                                                            -
                                                    "
8,2,1,"
                                                            -
                                                    "
8,2,2,"
                                                            44                                                    "
8,2,3,"
                                                            29                                                    "
8,2,4,"
                                                            110                                                    "
8,2,5,"
                                                            1,4                                                    "
8,2,6,"
                                                            -
                                                    "
8,2,7,"
                                                            3,5                                                    "
8,3,1,"
                                                            8                                                    "
8,3,2,"
                                                            44                                                    "
8,3,3,"
                                                            28                                                    "
8,3,4,"
                                                            81                                                    "
8,3,5,"
                                                            -
                                                    "
8,3,6,"
                                                            7                                                    "
8,3,7,"
                                                            3,5                                                    "
8,4,1,"
                                                            -
                                                    "
8,4,2,"
                                                            51                                                    "
8,4,3,"
                                                            34                                                    "
8,4,4,"
                                                            95                                                    "
8,4,5,"
                                                            1,2                                                    "
8,4,6,"
                                                            -
                                                    "
8,4,7,"
                                                            2,0                                                    "
8,5,1,"
                                                            -
                                                    "
8,5,2,"
                                                            37                                                    "
8,5,3,"
                                                            -
                                                    "
8,5,4,"
                                                            95                                                    "
8,5,5,"
                                                            -
                                                    "
8,5,6,"
                                                            5                                                    "
8,5,7,"
                                                            -
                                                    "
9,1,1,"
                                                            -
                                                    "
9,1,2,"
                                                            -
                                                    "
9,1,3,"
                                                            -
                                                    "
9,1,4,"
                                                            103                                                    "
9,1,5,"
                                                            1,7                                                    "
9,1,6,"
                                                            -
                                                    "
9,1,7,"
                                                            -
                                                    "
9,2,1,"
                                                            -
                                                    "
9,2,2,"
                                                            57                                                    "
9,2,3,"
                                                            43                                                    "
9,2,4,"
                                                            104                                                    "
9,2,5,"
                                                            1,6                                                    "
9,2,6,"
                                                            -
                                                    "
9,2,7,"
                                                            4,0                                                    "
9,3,1,"
                                                            11                                                    "
9,3,2,"
                                                            56                                                    "
9,3,3,"
                                                            40                                                    "
9,3,4,"
                                                            95                                                    "
9,3,5,"
                                                            -
                                                    "
9,3,6,"
                                                            6                                                    "
9,3,7,"
                                                            4,7                                                    "
9,4,1,"
                                                            -
                                                    "
9,4,2,"
                                                            71                                                    "
9,4,3,"
                                                            48                                                    "
9,4,4,"
                                                            107                                                    "
9,4,5,"
                                                            1,4                                                    "
9,4,6,"
                                                            -
                                                    "
9,4,7,"
                                                            2,4                                                    "
9,5,1,"
                                                            -
                                                    "
9,5,2,"
                                                            49                                                    "
9,5,3,"
                                                            -
                                                    "
9,5,4,"
                                                            117                                                    "
9,5,5,"
                                                            -
                                                    "
9,5,6,"
                                                            8                                                    "
9,5,7,"
                                                            -
                                                    "
10,1,1,"
                                                            -
                                                    "
10,1,2,"
                                                            -
                                                    "
10,1,3,"
                                                            -
                                                    "
10,1,4,"
                                                            67                                                    "
10,1,5,"
                                                            1,2                                                    "
10,1,6,"
                                                            -
                                                    "
10,1,7,"
                                                            -
                                                    "
10,2,1,"
                                                            -
                                                    "
10,2,2,"
                                                            57                                                    "
10,2,3,"
                                                            50                                                    "
10,2,4,"
                                                            74                                                    "
10,2,5,"
                                                            1,2                                                    "
10,2,6,"
                                                            -
                                                    "
10,2,7,"
                                                            2,8                                                    "
10,3,1,"
                                                            < 5                                                    "
10,3,2,"
                                                            56                                                    "
10,3,3,"
                                                            43                                                    "
10,3,4,"
                                                            53                                                    "
10,3,5,"
                                                            -
                                                    "
10,3,6,"
                                                            5                                                    "
10,3,7,"
                                                            3,0                                                    "
10,4,1,"
                                                            -
                                                    "
10,4,2,"
                                                            57                                                    "
10,4,3,"
                                                            48                                                    "
10,4,4,"
                                                            66                                                    "
10,4,5,"
                                                            0,9                                                    "
10,4,6,"
                                                            -
                                                    "
10,4,7,"
                                                            1,6                                                    "
10,5,1,"
                                                            -
                                                    "
10,5,2,"
                                                            42                                                    "
10,5,3,"
                                                            -
                                                    "
10,5,4,"
                                                            64                                                    "
10,5,5,"
                                                            -
                                                    "
10,5,6,"
                                                            6                                                    "
10,5,7,"
                                                            -
                                                    "
11,1,1,"
                                                            -
                                                    "
11,1,2,"
                                                            -
                                                    "
11,1,3,"
                                                            -
                                                    "
11,1,4,"
                                                            61                                                    "
11,1,5,"
                                                            1,4                                                    "
11,1,6,"
                                                            -
                                                    "
11,1,7,"
                                                            -
                                                    "
11,2,1,"
                                                            -
                                                    "
11,2,2,"
                                                            45                                                    "
11,2,3,"
                                                            39                                                    "
11,2,4,"
                                                            81                                                    "
11,2,5,"
                                                            1,1                                                    "
